Configuration,Vertices,Max Weight,Dial Time (ms),Dial Memory (MB),Binary Time (ms),Binary Memory (MB),Pairing Time (ms),Pairing Memory (MB),Winner,Speedup
n=100, W=10,100,4.74,0.07,1.36,0.01,1.47,0.02,Binary,3.50x
n=100, W=100,100,32.49,0.61,1.09,0.01,1.71,0.01,Binary,29.68x
n=100, W=1000,100,243.23,6.15,4.24,0.02,3.34,0.02,Pairing,72.73x
n=100, W=10000,100,2452.51,60.99,3.86,0.02,4.08,0.02,Binary,636.06x
n=500, W=10,500,25.51,0.33,9.99,0.12,12.02,0.07,Binary,2.55x
n=500, W=100,500,130.37,3.20,15.04,0.11,13.50,0.07,Pairing,9.66x
n=500, W=1000,500,1092.05,30.71,52.82,0.14,59.17,0.07,Binary,20.68x
n=500, W=10000,500,12309.66,308.61,53.87,0.18,54.59,0.08,Binary,228.49x
n=1000, W=10,1000,56.03,0.66,28.89,0.17,34.74,0.14,Binary,1.94x
n=1000, W=100,1000,224.01,6.15,42.96,0.25,40.02,0.14,Pairing,5.60x
n=1000, W=1000,1000,3050.38,61.56,155.99,0.31,179.92,0.15,Binary,19.55x
n=1000, W=10000,1000,25984.67,618.77,175.88,0.47,235.20,0.17,Binary,147.74x
n=10000, W=10,10000,N/A,N/A,1484.14,2.02,1224.90,1.38,Pairing,1.21x
n=10000, W=100,10000,N/A,N/A,1537.61,3.06,1410.39,1.42,Pairing,1.09x
n=10000, W=1000,10000,N/A,N/A,11916.37,4.43,12803.79,1.52,Binary,1.07x
